doc_id,page,block_type,section,text
dsi2566.pdf,1,paragraph,Unknown,หลักสูตรวิทยาศาสตรบัณฑิต
dsi2566.pdf,1,paragraph,Unknown,สาขาวิชาวิทยาศาสตร์และนวัตกรรมข้อมูล
dsi2566.pdf,1,paragraph,Unknown,(หลักสูตรปรับปรุง พ.ศ. 2566)
dsi2566.pdf,1,paragraph,Unknown,หลักสูตรพหุวิทยาการ
dsi2566.pdf,1,paragraph,Unknown,หลักสูตรความร่วมมือระหว่าง
dsi2566.pdf,1,paragraph,Unknown,วิทยาลัยสหวิทยาการ และ วิทยาลัยนวัตกรรม
dsi2566.pdf,1,paragraph,Unknown,มหาวิทยาลัยธรรมศาสตร์
dsi2566.pdf,2,paragraph,Unknown,รายละเอียดของหลักสูตร
dsi2566.pdf,2,paragraph,Unknown,ชื่อสถาบันอุดมศึกษา  มหาวิทยาลัยธรรมศาสตร์
dsi2566.pdf,2,paragraph,Unknown,คณะ/วิทยาลัย/สถาบัน วิทยาลัยสหวิทยาการ
dsi2566.pdf,2,paragraph,Unknown,หมวดที่ 1 ข้อมูลทั่วไป
dsi2566.pdf,2,heading,1.1 รหัสและชื่อหลักสูตร,1.1 รหัสและชื่อหลักสูตร
dsi2566.pdf,2,paragraph,1.1 รหัสและชื่อหลักสูตร,รหัสหลักสูตร : 20182067117526
dsi2566.pdf,2,paragraph,1.1 รหัสและชื่อหลักสูตร,ชื่อหลักสูตร
dsi2566.pdf,2,paragraph,1.1 รหัสและชื่อหลักสูตร,ภาษาไทย : หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์และนวัตกรรมข้อมูล
dsi2566.pdf,2,paragraph,1.1 รหัสและชื่อหลักสูตร,ภาษาอังกฤษ : Bachelor of Science Program in Data Science and Innovation
dsi2566.pdf,2,heading,1.2 ชื่อปริญญาและสาขาวิชา,1.2 ชื่อปริญญาและสาขาวิชา
dsi2566.pdf,2,paragraph,1.2 ชื่อปริญญาและสาขาวิชา,ภาษาไทย ชื่อเต็ม วิทยาศาสตรบัณฑิต (วิทยาศาสตร์และนวัตกรรมข้อมูล)
dsi2566.pdf,2,paragraph,1.2 ชื่อปริญญาและสาขาวิชา,ชื่อย่อ วท.บ. (วิทยาศาสตร์และนวัตกรรมข้อมูล)
dsi2566.pdf,2,paragraph,1.2 ชื่อปริญญาและสาขาวิชา,ภาษาอังกฤษ  ชื่อเต็ม Bachelor of Science (Data Science and Innovation)
dsi2566.pdf,2,paragraph,1.2 ชื่อปริญญาและสาขาวิชา,ชื่อย่อ B.Sc. (Data Science and Innovation)
dsi2566.pdf,2,heading,1.3 วิชาเอก (ถ้ามี),1.3 วิชาเอก (ถ้ามี)
dsi2566.pdf,2,heading,1.4 รูปแบบของหลักสูตร,1.4 รูปแบบของหลักสูตร
dsi2566.pdf,2,heading,1.4.1 รูปแบบ,1.4.1 รูปแบบ
dsi2566.pdf,2,paragraph,1.4.1 รูปแบบ, หลักสูตรระดับปริญญาตรี (ต่อเนื่อง)
dsi2566.pdf,2,paragraph,1.4.1 รูปแบบ, หลักสูตรระดับปริญญาตรี 4 ปี
dsi2566.pdf,2,paragraph,1.4.1 รูปแบบ, หลักสูตรระดับปริญญาตรี 5 ปี
dsi2566.pdf,2,paragraph,1.4.1 รูปแบบ, หลักสูตรระดับปริญญาตรี 6 ปี
dsi2566.pdf,2,heading,1.4.2 ประเภทของหลักสูตร,1.4.2 ประเภทของหลักสูตร
dsi2566.pdf,2,paragraph,1.4.2 ประเภทของหลักสูตร, หลักสูตรปริญญาตรีทางวิชาการ
dsi2566.pdf,2,paragraph,1.4.2 ประเภทของหลักสูตร, หลักสูตรปริญญาตรีแบบก้าวหน้าทางวิชาการ
dsi2566.pdf,2,paragraph,1.4.2 ประเภทของหลักสูตร, หลักสูตรปริญญาตรีทางวิชาชีพหรือปฏิบัติการ
dsi2566.pdf,2,paragraph,1.4.2 ประเภทของหลักสูตร, หลักสูตรปริญญาตรีแบบก้าวหน้าทางวิชาชีพหรือปฏิบัติการ
dsi2566.pdf,2,heading,1.4.3 ภาษาที่ใช้,1.4.3 ภาษาที่ใช้
dsi2566.pdf,2,paragraph,1.4.3 ภาษาที่ใช้, จัดการศึกษาเป็นภาษาไทย
dsi2566.pdf,2,paragraph,1.4.3 ภาษาที่ใช้, จัดการศึกษาเป็นภาษาอังกฤษ
dsi2566.pdf,3,paragraph,1.4.3 ภาษาที่ใช้, จัดการศึกษาทั้งภาษาไทยและภาษาอังกฤษ
dsi2566.pdf,3,paragraph,1.4.3 ภาษาที่ใช้, จัดการศึกษาเป็นภาษาต่างประเทศ ระบุ..............
dsi2566.pdf,3,heading,1.4.4 ความร่วมมือกับสถาบันอื่น,1.4.4 ความร่วมมือกับสถาบันอื่น
dsi2566.pdf,3,paragraph,1.4.4 ความร่วมมือกับสถาบันอื่น, เป็นหลักสูตรของสถาบันโดยเฉพาะ
dsi2566.pdf,3,paragraph,1.4.4 ความร่วมมือกับสถาบันอื่น, เป็นหลักสูตร ที่ได้รับ ความร่วมมือระหว่าง วิทยาลัยสหวิทยาการ  และวิทยาลัยนวัตกรรม
dsi2566.pdf,3,paragraph,1.4.4 ความร่วมมือกับสถาบันอื่น,มหาวิทยาลัยธรรมศาสตร์ บริษัท อี-ซี.โอ.พี (ประเทศไทย) จำกัด และ บริษัท กสิกร แล็ป จำกัด
dsi2566.pdf,3,heading,1.4.5 การให้ปริญญาแก่ผู้สำเร็จการศึกษา,1.4.5 การให้ปริญญาแก่ผู้สำเร็จการศึกษา
dsi2566.pdf,3,paragraph,1.4.5 การให้ปริญญาแก่ผู้สำเร็จการศึกษา, ให้ปริญญาเพียงสาขาวิชาเดียว
dsi2566.pdf,3,paragraph,1.4.5 การให้ปริญญาแก่ผู้สำเร็จการศึกษา, ให้ปริญญามากกว่า 1 สาขาวิชา (เช่น ทวิปริญญา หรือเป็นปริญญาร่วมระหว่างสถาบัน
dsi2566.pdf,3,paragraph,1.4.5 การให้ปริญญาแก่ผู้สำเร็จการศึกษา,อุดมศึกษา)
dsi2566.pdf,3,heading,1.4.6 สถานภาพของหลักสูตรและการพิจารณาอนุมัติ/เห็นชอบหลักสูตร,1.4.6 สถานภาพของหลักสูตรและการพิจารณาอนุมัติ/เห็นชอบหลักสูตร
dsi2566.pdf,3,paragraph,1.4.6 สถานภาพของหลักสูตรและการพิจารณาอนุมัติ/เห็นชอบหลักสูตร,- หลักสูตรปรับปรุง พ.ศ. 2566 (ปรับปรุงจากหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์และ
dsi2566.pdf,3,paragraph,1.4.6 สถานภาพของหลักสูตรและการพิจารณาอนุมัติ/เห็นชอบหลักสูตร,นวัตกรรมข้อมูล พ.ศ.2561)
dsi2566.pdf,3,paragraph,1.4.6 สถานภาพของหลักสูตรและการพิจารณาอนุมัติ/เห็นชอบหลักสูตร,- กำหนดเปิดสอนในภาคการศึกษาที่ 1 ปีการศึกษา 2566
dsi2566.pdf,3,paragraph,1.4.6 สถานภาพของหลักสูตรและการพิจารณาอนุมัติ/เห็นชอบหลักสูตร,- ได้พิจารณากลั่นกรองโดยคณะกรรมการนโยบายวิชาการ ในการประชุมครั้งที่ 2/2566
dsi2566.pdf,3,paragraph,1.4.6 สถานภาพของหลักสูตรและการพิจารณาอนุมัติ/เห็นชอบหลักสูตร,เมื่อวันที่ 25 เดือน พฤษภาคม พ.ศ. 2566
dsi2566.pdf,3,paragraph,1.4.6 สถานภาพของหลักสูตรและการพิจารณาอนุมัติ/เห็นชอบหลักสูตร,- ได้รับอนุมัติ/ เห็นชอบหลักสูตรจากสภามหาวิทยาลัย ในการประชุมครั้งที่ ..................
dsi2566.pdf,3,paragraph,1.4.6 สถานภาพของหลักสูตรและการพิจารณาอนุมัติ/เห็นชอบหลักสูตร,เมื่อวันที่ ..... เดือน ..... พ.ศ. .....
dsi2566.pdf,3,heading,1.5 อาชีพที่สามารถประกอบได้หลังสำเร็จการศึกษา,1.5 อาชีพที่สามารถประกอบได้หลังสำเร็จการศึกษา
dsi2566.pdf,3,heading,1.5.1 นักวิทยาศาสตร์ข้อมูล (Data Scientist),1.5.1 นักวิทยาศาสตร์ข้อมูล (Data Scientist)
dsi2566.pdf,3,heading,1.5.2 นักวิเคราะห์ข้อมูล (Data Analyst),1.5.2 นักวิเคราะห์ข้อมูล (Data Analyst)
dsi2566.pdf,3,heading,1.5.3 วิศวกรข้อมูล (Data Engineer),1.5.3 วิศวกรข้อมูล (Data Engineer)
dsi2566.pdf,3,heading,1.5.4 นักวิเคราะห์สถิติ (Statistic Analyst),1.5.4 นักวิเคราะห์สถิติ (Statistic Analyst)
dsi2566.pdf,3,heading,1.5.5 ผู้เชี่ยวชาญข้อมูลเชิงธุรกิจ (Business Analyst),1.5.5 ผู้เชี่ยวชาญข้อมูลเชิงธุรกิจ (Business Analyst)
dsi2566.pdf,3,heading,1.5.6 นักออกแบบสถาปัตยกรรมข้อมูล (Data Architect),1.5.6 นักออกแบบสถาปัตยกรรมข้อมูล (Data Architect)
dsi2566.pdf,3,heading,1.5.7 นักวิเคราะห์สำหรับอุตสาหกรรมประกันภัย (Actuarial Scientist),1.5.7 นักวิเคราะห์สำหรับอุตสาหกรรมประกันภัย (Actuarial Scientist)
dsi2566.pdf,3,heading,1.5.8 เจ้าหน้าที่นิติวิทยาศาสตร์คอมพิวเตอร์ (Digital Forensic Scientist),1.5.8 เจ้าหน้าที่นิติวิทยาศาสตร์คอมพิวเตอร์ (Digital Forensic Scientist)
dsi2566.pdf,3,heading,1.6 สถานที่จัดการเรียนการสอน,1.6 สถานที่จัดการเรียนการสอน
dsi2566.pdf,3,paragraph,1.6 สถานที่จัดการเรียนการสอน, ศูนย์รังสิต
dsi2566.pdf,3,paragraph,1.6 สถานที่จัดการเรียนการสอน, ท่าพระจันทร์
dsi2566.pdf,3,paragraph,1.6 สถานที่จัดการเรียนการสอน, ศูนย์พัทยา
dsi2566.pdf,4,paragraph,1.6 สถานที่จัดการเรียนการสอน, ศูนย์ลำปาง
dsi2566.pdf,4,heading,1.7 ค่าใช้จ่ายตลอดหลักสูตร,1.7 ค่าใช้จ่ายตลอดหลักสูตร
dsi2566.pdf,4,paragraph,1.7 ค่าใช้จ่ายตลอดหลักสูตร,ประเภทโครงการ
dsi2566.pdf,4,paragraph,1.7 ค่าใช้จ่ายตลอดหลักสูตร, โครงการปกติ
dsi2566.pdf,4,paragraph,1.7 ค่าใช้จ่ายตลอดหลักสูตร, โครงการพิเศษ
dsi2566.pdf,4,paragraph,1.7 ค่าใช้จ่ายตลอดหลักสูตร, โครงการปกติและโครงการพิเศษ
dsi2566.pdf,4,paragraph,1.7 ค่าใช้จ่ายตลอดหลักสูตร,ค่าใช้จ่ายตลอดหลักสูตร
